"seurat_clusters","freq.WT1","freq.WT2","freq.WT3","freq.WT4","freq.KO1","freq.KO2","freq.KO3","freq.KO4"
"0",0.16,0.195826645264847,0.120738636363636,0.130645161290323,0.225266362252664,0.208841463414634,0.150943396226415,0.200294550810015
"1",0.190769230769231,0.146067415730337,0.169034090909091,0.146774193548387,0.118721461187215,0.0853658536585366,0.145137880986938,0.14580265095729
"2",0.189230769230769,0.163723916532905,0.224431818181818,0.209677419354839,0.0669710806697108,0.0914634146341463,0.0986937590711176,0.0780559646539028
"3",0.101538461538462,0.14446227929374,0.0951704545454545,0.0887096774193548,0.153729071537291,0.149390243902439,0.0986937590711176,0.128129602356406
"4",0.14,0.101123595505618,0.126420454545455,0.104838709677419,0.117199391171994,0.103658536585366,0.121915820029028,0.116347569955817
"5",0.0492307692307692,0.0818619582664527,0.0667613636363636,0.106451612903226,0.0730593607305936,0.105182926829268,0.103047895500726,0.069219440353461
"6",0.0246153846153846,0.0176565008025682,0.0269886363636364,0.0596774193548387,0.127853881278539,0.11890243902439,0.117561683599419,0.144329896907216
"7",0.0476923076923077,0.0593900481540931,0.0809659090909091,0.0741935483870968,0.0441400304414003,0.0609756097560976,0.081277213352685,0.0441826215022091
"8",0.0615384615384615,0.0304975922953451,0.0326704545454545,0.0370967741935484,0.0273972602739726,0.0259146341463415,0.034833091436865,0.03240058910162
"9",0.02,0.0513643659711075,0.0355113636363636,0.0274193548387097,0.0395738203957382,0.0320121951219512,0.0377358490566038,0.0294550810014728
"10",0.0153846153846154,0.00802568218298555,0.0213068181818182,0.0145161290322581,0.0060882800608828,0.0182926829268293,0.0101596516690856,0.0117820324005891
